fid0,Region_Cod,Region_Nam,Dist_Cod,Dist_Nam,Ward_Cod,Ward_Nam,Village_Co,Village_Na
1,"01",Dodoma,"01",Kondoa,"011",Bumbuta,"01",Bumbuta
2,"01",Dodoma,"01",Kondoa,"011",Bumbuta,"02",Mahongo
3,"01",Dodoma,"01",Kondoa,"011",Bumbuta,"03",Mauno
4,"01",Dodoma,"01",Kondoa,"021",Pahi,"01",Pahi
5,"01",Dodoma,"01",Kondoa,"021",Pahi,"02",Potea
6,"01",Dodoma,"01",Kondoa,"021",Pahi,"03",Salare
7,"01",Dodoma,"01",Kondoa,"021",Pahi,"04",Kiteo
8,"01",Dodoma,"01",Kondoa,"031",Busi,"01",Busi
9,"01",Dodoma,"01",Kondoa,"031",Busi,"02",Sambwa
10,"01",Dodoma,"01",Kondoa,"031",Busi,"03",Keikei
11,"01",Dodoma,"01",Kondoa,"031",Busi,"05",Ihari
12,"01",Dodoma,"01",Kondoa,"031",Busi,"06",Isusumya
13,"01",Dodoma,"01",Kondoa,"041",Haubi,"01",Haubi
14,"01",Dodoma,"01",Kondoa,"041",Haubi,"02",Ntomoko
15,"01",Dodoma,"01",Kondoa,"041",Haubi,"03",Mafai
16,"01",Dodoma,"01",Kondoa,"051",Kalamba,"01",Baura
17,"01",Dodoma,"01",Kondoa,"051",Kalamba,"02",Kalamba chini
18,"01",Dodoma,"01",Kondoa,"051",Kalamba,"03",Hebi chini
19,"01",Dodoma,"01",Kondoa,"051",Kalamba,"04",Loo
20,"01",Dodoma,"01",Kondoa,"051",Kalamba,"05",Hebi juu
21,"01",Dodoma,"01",Kondoa,"051",Kalamba,"06",Kalamba juu
22,"01",Dodoma,"01",Kondoa,"061",Kwadelo,"01",Kwadelo
23,"01",Dodoma,"01",Kondoa,"061",Kwadelo,"02",Kirere cha ng'ombe
24,"01",Dodoma,"01",Kondoa,"061",Kwadelo,"03",Makirinya
25,"01",Dodoma,"01",Kondoa,"071",Masange,"01",Masange
26,"01",Dodoma,"01",Kondoa,"071",Masange,"02",Kwayondu
27,"01",Dodoma,"01",Kondoa,"081",Kikilo,"01",Kikilo kati
28,"01",Dodoma,"01",Kondoa,"081",Kikilo,"02",Kikilo Ororimo
29,"01",Dodoma,"01",Kondoa,"081",Kikilo,"03",Kwahengwa
30,"01",Dodoma,"01",Kondoa,"081",Kikilo,"04",Berabera
31,"01",Dodoma,"01",Kondoa,"091",Bereko,"01",Puhi
32,"01",Dodoma,"01",Kondoa,"091",Bereko,"02",Bereko
33,"01",Dodoma,"01",Kondoa,"101",Kisese,"01",Mapinduzi
34,"01",Dodoma,"01",Kondoa,"101",Kisese,"02",Kisese sauna
35,"01",Dodoma,"01",Kondoa,"101",Kisese,"03",Madisa
36,"01",Dodoma,"01",Kondoa,"101",Kisese,"04",Kisesa Dissa
37,"01",Dodoma,"01",Kondoa,"101",Kisese,"05",Atta
38,"01",Dodoma,"01",Kondoa,"111",Kikore,"01",Kikore
39,"01",Dodoma,"01",Kondoa,"111",Kikore,"02",Madege
40,"01",Dodoma,"01",Kondoa,"111",Kikore,"03",Hurui
41,"01",Dodoma,"01",Kondoa,"111",Kikore,"04",Mitati
42,"01",Dodoma,"01",Kondoa,"111",Kikore,"05",Mkurumuzi
43,"01",Dodoma,"01",Kondoa,"121",Serya,"01",Mongoroma
44,"01",Dodoma,"01",Kondoa,"121",Serya,"02",Chandimu
45,"01",Dodoma,"01",Kondoa,"121",Serya,"03",Munguri
46,"01",Dodoma,"01",Kondoa,"121",Serya,"04",Serya
47,"01",Dodoma,"01",Kondoa,"133",Kilimani,"01",Damai
48,"01",Dodoma,"01",Kondoa,"133",Kilimani,"02",Bicha
49,"01",Dodoma,"01",Kondoa,"133",Kilimani,"03",Kilimani
50,"01",Dodoma,"01",Kondoa,"133",Kilimani,"04",Kwantisi
51,"01",Dodoma,"01",Kondoa,"142",Chemchem,"01",Kwapakacha
52,"01",Dodoma,"01",Kondoa,"142",Chemchem,"02",Ubembeni
53,"01",Dodoma,"01",Kondoa,"142",Chemchem,"03",Iboni
54,"01",Dodoma,"01",Kondoa,"142",Chemchem,"04",Chemchem
55,"01",Dodoma,"01",Kondoa,"151",Hondo mairo,"01",Mwembeni
56,"01",Dodoma,"01",Kondoa,"151",Hondo mairo,"02",Hondo mairo
57,"01",Dodoma,"01",Kondoa,"151",Hondo mairo,"03",Mtiryangwi
58,"01",Dodoma,"01",Kondoa,"161",Bolisa,"01",Itiso
59,"01",Dodoma,"01",Kondoa,"161",Bolisa,"02",Bolisa
60,"01",Dodoma,"01",Kondoa,"161",Bolisa,"03",Poisi
61,"01",Dodoma,"01",Kondoa,"171",Kinyasi,"01",Kinyasi
62,"01",Dodoma,"01",Kondoa,"171",Kinyasi,"02",Kinyasi kati
63,"01",Dodoma,"01",Kondoa,"171",Kinyasi,"03",Ikengwa
64,"01",Dodoma,"01",Kondoa,"171",Kinyasi,"04",Isongolo
65,"01",Dodoma,"01",Kondoa,"181",Salanka,"01",Makafa
66,"01",Dodoma,"01",Kondoa,"181",Salanka,"02",Lembo
67,"01",Dodoma,"01",Kondoa,"181",Salanka,"03",Salanka
68,"01",Dodoma,"01",Kondoa,"181",Salanka,"04",Masawi
69,"01",Dodoma,"01",Kondoa,"181",Salanka,"05",Alagwa
70,"01",Dodoma,"01",Kondoa,"191",Itololo,"01",Mongolo
71,"01",Dodoma,"01",Kondoa,"191",Itololo,"02",Kandaga
72,"01",Dodoma,"01",Kondoa,"191",Itololo,"03",Itololo
73,"01",Dodoma,"01",Kondoa,"191",Itololo,"04",Machinjioni
74,"01",Dodoma,"01",Kondoa,"191",Itololo,"04",Mkekena
75,"01",Dodoma,"01",Kondoa,"201",Itaswi,"01",Itaswi
76,"01",Dodoma,"01",Kondoa,"201",Itaswi,"02",Haire
77,"01",Dodoma,"01",Kondoa,"201",Itaswi,"03",Kisaki
78,"01",Dodoma,"01",Kondoa,"201",Itaswi,"04",Chubi
79,"01",Dodoma,"01",Kondoa,"211",Suruke,"01",Mlua
80,"01",Dodoma,"01",Kondoa,"211",Suruke,"02",Tungufu
81,"01",Dodoma,"01",Kondoa,"221",Kingale,"01",Kingale
82,"01",Dodoma,"01",Kondoa,"221",Kingale,"02",Tampori
83,"01",Dodoma,"01",Kondoa,"221",Kingale,"03",Iyoli
84,"01",Dodoma,"01",Kondoa,"221",Kingale,"04",Chemchem
85,"01",Dodoma,"01",Kondoa,"232",Kondoa mjini,"01",Maji ya Shamba
86,"01",Dodoma,"01",Kondoa,"232",Kondoa mjini,"02",Mningani
87,"01",Dodoma,"01",Kondoa,"232",Kondoa mjini,"03",Kichangani
88,"01",Dodoma,"01",Kondoa,"232",Kondoa mjini,"04",Tura
89,"01",Dodoma,"01",Kondoa,"232",Kondoa mjini,"05",Mnarani
90,"01",Dodoma,"01",Kondoa,"241",Kolo,"01",Kolo
91,"01",Dodoma,"01",Kondoa,"241",Kolo,"02",Choka
92,"01",Dodoma,"01",Kondoa,"241",Kolo,"03",Hachwi
93,"01",Dodoma,"01",Kondoa,"251",Changaa,"01",Kwamafunchi
94,"01",Dodoma,"01",Kondoa,"251",Changaa,"02",Changaa
95,"01",Dodoma,"01",Kondoa,"251",Changaa,"03",Tumbelo
96,"01",Dodoma,"01",Kondoa,"251",Changaa,"04",Chololo
97,"01",Dodoma,"01",Kondoa,"261",Thawi,"01",Sakami
98,"01",Dodoma,"01",Kondoa,"261",Thawi,"02",Thawi madukani
99,"01",Dodoma,"01",Kondoa,"261",Thawi,"03",Thawi juu
100,"01",Dodoma,"01",Kondoa,"271",Mnenia,"01",Mnenia
101,"01",Dodoma,"01",Kondoa,"271",Mnenia,"02",Itundwi
102,"01",Dodoma,"01",Kondoa,"271",Mnenia,"03",Filimo
103,"01",Dodoma,"01",Kondoa,"271",Mnenia,"04",Bambare
104,"01",Dodoma,"01",Kondoa,"281",Soera,"01",Soera
105,"01",Dodoma,"01",Kondoa,"281",Soera,"02",Bukulu
106,"01",Dodoma,"01",Kondoa,"281",Soera,"03",Humai
107,"01",Dodoma,"01",Kondoa,"281",Soera,"04",Kwadinu
108,"01",Dodoma,"02",Mpwapwa,"011",Mazae,"01",Mazae
109,"01",Dodoma,"02",Mpwapwa,"011",Mazae,"02",Kisokwe
110,"01",Dodoma,"02",Mpwapwa,"011",Mazae,"03",Idilo
111,"01",Dodoma,"02",Mpwapwa,"023",Vingh'awe,"01",Vingh'awe
112,"01",Dodoma,"02",Mpwapwa,"023",Vingh'awe,"02",Manghangu
113,"01",Dodoma,"02",Mpwapwa,"023",Vingh'awe,"03",Isinghu
114,"01",Dodoma,"02",Mpwapwa,"031",Matomondo,"01",Mbori
115,"01",Dodoma,"02",Mpwapwa,"031",Matomondo,"02",Tambi
116,"01",Dodoma,"02",Mpwapwa,"031",Matomondo,"03",Mlembule
117,"01",Dodoma,"02",Mpwapwa,"031",Matomondo,"04",Mwenzere
118,"01",Dodoma,"02",Mpwapwa,"041",Kimagai,"01",Inzomvu
119,"01",Dodoma,"02",Mpwapwa,"041",Kimagai,"02",Kimagai
120,"01",Dodoma,"02",Mpwapwa,"053",Kibakwe,"01",Iyenye
121,"01",Dodoma,"02",Mpwapwa,"053",Kibakwe,"02",Kibakwe
122,"01",Dodoma,"02",Mpwapwa,"053",Kibakwe,"03",Chamtumile
123,"01",Dodoma,"02",Mpwapwa,"061",Lumuma,"01",Lufus
124,"01",Dodoma,"02",Mpwapwa,"061",Lumuma,"02",Kitati
125,"01",Dodoma,"02",Mpwapwa,"061",Lumuma,"03",Mafene
126,"01",Dodoma,"02",Mpwapwa,"071",Luhundwa,"01",Ikuyu
127,"01",Dodoma,"02",Mpwapwa,"071",Luhundwa,"02",Luhundwa
128,"01",Dodoma,"02",Mpwapwa,"071",Luhundwa,"03",Kidenge
129,"01",Dodoma,"02",Mpwapwa,"081",Massa,"01",Makose
130,"01",Dodoma,"02",Mpwapwa,"081",Massa,"02",Chogola
131,"01",Dodoma,"02",Mpwapwa,"081",Massa,"03",Winza
132,"01",Dodoma,"02",Mpwapwa,"081",Massa,"04",Njiapanda
133,"01",Dodoma,"02",Mpwapwa,"091",Ipera,"01",Kinusi
134,"01",Dodoma,"02",Mpwapwa,"091",Ipera,"02",Mang'aliza
135,"01",Dodoma,"02",Mpwapwa,"091",Ipera,"03",Kikuyu
136,"01",Dodoma,"02",Mpwapwa,"101",Rudi,"01",Chilendu
137,"01",Dodoma,"02",Mpwapwa,"101",Rudi,"02",Singonhali
138,"01",Dodoma,"02",Mpwapwa,"101",Rudi,"03",Mtamba
139,"01",Dodoma,"02",Mpwapwa,"111",Mlunduzi,"01",Chinyika
140,"01",Dodoma,"02",Mpwapwa,"111",Mlunduzi,"02",Chinyanghuku
141,"01",Dodoma,"02",Mpwapwa,"111",Mlunduzi,"03",Wiyenzele
142,"01",Dodoma,"02",Mpwapwa,"121",Wotta,"01",Mlunga
143,"01",Dodoma,"02",Mpwapwa,"121",Wotta,"02",Mwanawoya
144,"01",Dodoma,"02",Mpwapwa,"121",Wotta,"03",Lwihomelo
145,"01",Dodoma,"02",Mpwapwa,"121",Wotta,"04",Wangi
146,"01",Dodoma,"02",Mpwapwa,"121",Wotta,"05",Kidabaga
147,"01",Dodoma,"02",Mpwapwa,"131",Mima,"01",Mima
148,"01",Dodoma,"02",Mpwapwa,"131",Mima,"02",Sazima
149,"01",Dodoma,"02",Mpwapwa,"131",Mima,"03",Igoji
150,"01",Dodoma,"02",Mpwapwa,"131",Mima,"04",Chamanda
151,"01",Dodoma,"02",Mpwapwa,"141",Berege,"01",Berege
152,"01",Dodoma,"02",Mpwapwa,"141",Berege,"02",Mzase
153,"01",Dodoma,"02",Mpwapwa,"141",Berege,"03",Mkanana
154,"01",Dodoma,"02",Mpwapwa,"151",Chunyu,"01",Chunyu
155,"01",Dodoma,"02",Mpwapwa,"151",Chunyu,"02",Msagali
156,"01",Dodoma,"02",Mpwapwa,"161",Mbuga,"01",Kizi
157,"01",Dodoma,"02",Mpwapwa,"161",Mbuga,"02",Mbuga
158,"01",Dodoma,"02",Mpwapwa,"161",Mbuga,"03",Iguluwi
159,"01",Dodoma,"02",Mpwapwa,"171",Godegode,"01",Godegode
160,"01",Dodoma,"02",Mpwapwa,"171",Godegode,"02",Kisisi
161,"01",Dodoma,"02",Mpwapwa,"171",Godegode,"03",Mgoma
162,"01",Dodoma,"02",Mpwapwa,"171",Godegode,"04",Mzogole
163,"01",Dodoma,"02",Mpwapwa,"183",Mpwapwa,"01",Ilolo
164,"01",Dodoma,"02",Mpwapwa,"183",Mpwapwa,"02",Kiboriani
165,"01",Dodoma,"02",Mpwapwa,"183",Mpwapwa,"03",Mpwapwa
166,"01",Dodoma,"02",Mpwapwa,"183",Mpwapwa,"04",Igovu
167,"01",Dodoma,"02",Mpwapwa,"183",Mpwapwa,"05",Mwanakianga
168,"01",Dodoma,"02",Mpwapwa,"191",Lupeta,"01",Lupeta
169,"01",Dodoma,"02",Mpwapwa,"191",Lupeta,"02",Bumila
170,"01",Dodoma,"02",Mpwapwa,"191",Lupeta,"03",Makutupa
171,"01",Dodoma,"02",Mpwapwa,"201",Gulwe,"01",Iyoma
172,"01",Dodoma,"02",Mpwapwa,"201",Gulwe,"02",Gurwe
173,"01",Dodoma,"02",Mpwapwa,"201",Gulwe,"03",Chiseyu
174,"01",Dodoma,"02",Mpwapwa,"211",Nghambi,"01",Kiegea
175,"01",Dodoma,"02",Mpwapwa,"211",Nghambi,"02",Nghambi
176,"01",Dodoma,"02",Mpwapwa,"211",Nghambi,"03",Kazania
177,"01",Dodoma,"02",Mpwapwa,"221",Chitemo,"01",Chibwegele
178,"01",Dodoma,"02",Mpwapwa,"221",Chitemo,"02",Chitemo
179,"01",Dodoma,"02",Mpwapwa,"231",Iwondo,"01",Igoji
180,"01",Dodoma,"02",Mpwapwa,"231",Iwondo,"02",Iwondo
181,"01",Dodoma,"02",Mpwapwa,"241",Kingiti,"01",Lukole
182,"01",Dodoma,"02",Mpwapwa,"241",Kingiti,"02",Kingiti
183,"01",Dodoma,"02",Mpwapwa,"251",Lufu,"01",Gomhungile
184,"01",Dodoma,"02",Mpwapwa,"251",Lufu,"01",Lufu
185,"01",Dodoma,"02",Mpwapwa,"251",Lufu,"03",Mlimo
186,"01",Dodoma,"02",Mpwapwa,"261",Pwaga,"01",Pwaga
187,"01",Dodoma,"02",Mpwapwa,"261",Pwaga,"02",Idaho
188,"01",Dodoma,"02",Mpwapwa,"261",Pwaga,"03",Itende
189,"01",Dodoma,"02",Mpwapwa,"261",Pwaga,"04",Minguwi
190,"01",Dodoma,"02",Mpwapwa,"271",Galigali,"01",Matonya
191,"01",Dodoma,"02",Mpwapwa,"271",Galigali,"02",Galigali
192,"01",Dodoma,"02",Mpwapwa,"281",Mtera,"01",Kisima
193,"01",Dodoma,"02",Mpwapwa,"281",Mtera,"02",Mtera
194,"01",Dodoma,"02",Mpwapwa,"281",Mtera,"03",Chibwegele
195,"01",Dodoma,"02",Mpwapwa,"291",Chipogoro,"01",Chipogoro
196,"01",Dodoma,"02",Mpwapwa,"291",Chipogoro,"02",Seluka
197,"01",Dodoma,"02",Mpwapwa,"291",Chipogoro,"03",Chaludewa
198,"01",Dodoma,"02",Mpwapwa,"301",Malolo,"01",Mzugilo
199,"01",Dodoma,"02",Mpwapwa,"301",Malolo,"02",Malolo
200,"01",Dodoma,"02",Mpwapwa,"301",Malolo,"03",Idodoma
201,"01",Dodoma,"03",Kongwa,"013",Kongwa,"01",Kongwa
202,"01",Dodoma,"03",Kongwa,"013",Kongwa,"02",Mnyakongo
203,"01",Dodoma,"03",Kongwa,"013",Kongwa,"03",Mlanga
204,"01",Dodoma,"03",Kongwa,"021",Sejeli,"01",Msunjilile
205,"01",Dodoma,"03",Kongwa,"021",Sejeli,"02",Sejeli
206,"01",Dodoma,"03",Kongwa,"021",Sejeli,"03",Mbande
207,"01",Dodoma,"03",Kongwa,"021",Sejeli,"04",Vilundilo
208,"01",Dodoma,"03",Kongwa,"021",Sejeli,"05",Manungu
209,"01",Dodoma,"03",Kongwa,"031",Hogoro,"01",Nyerere
210,"01",Dodoma,"03",Kongwa,"031",Hogoro,"02",Banyibanyi
211,"01",Dodoma,"03",Kongwa,"031",Hogoro,"03",Hogoro
212,"01",Dodoma,"03",Kongwa,"031",Hogoro,"04",Chamae
213,"01",Dodoma,"03",Kongwa,"031",Hogoro,"05",Mkutani
214,"01",Dodoma,"03",Kongwa,"041",Zoissa,"01",Pingalame
215,"01",Dodoma,"03",Kongwa,"041",Zoissa,"02",Zoissa
216,"01",Dodoma,"03",Kongwa,"041",Zoissa,"03",Kinangali
217,"01",Dodoma,"03",Kongwa,"051",Mkoka,"01",Mkoka
218,"01",Dodoma,"03",Kongwa,"051",Mkoka,"02",Mnuku
219,"01",Dodoma,"03",Kongwa,"051",Mkoka,"03",Mvungurumo
220,"01",Dodoma,"03",Kongwa,"061",Njoge,"01",Makutupa
221,"01",Dodoma,"03",Kongwa,"061",Njoge,"02",Njoge
222,"01",Dodoma,"03",Kongwa,"061",Njoge,"03",Hembahemba
223,"01",Dodoma,"03",Kongwa,"071",Mtanana,"01",Chigwingwili
224,"01",Dodoma,"03",Kongwa,"071",Mtanana,"02",Ndalibo
225,"01",Dodoma,"03",Kongwa,"071",Mtanana,"03",Mtanana A
226,"01",Dodoma,"03",Kongwa,"071",Mtanana,"04",Mtanana B
227,"01",Dodoma,"03",Kongwa,"071",Mtanana,"05",Soiti
228,"01",Dodoma,"03",Kongwa,"081",Pandambili,"01",Pandambili
229,"01",Dodoma,"03",Kongwa,"091",Mlali,"01",Mlali Iyegu
230,"01",Dodoma,"03",Kongwa,"091",Mlali,"02",Ihanda
231,"01",Dodoma,"03",Kongwa,"091",Mlali,"03",Mlali Bondeni
232,"01",Dodoma,"03",Kongwa,"101",Iduo,"01",Iduo
233,"01",Dodoma,"03",Kongwa,"101",Iduo,"02",Chang'ombe
234,"01",Dodoma,"03",Kongwa,"101",Iduo,"03",Masinyeti
235,"01",Dodoma,"03",Kongwa,"101",Iduo,"04",Suguta
236,"01",Dodoma,"03",Kongwa,"111",Sagara,"01",Sagara B
237,"01",Dodoma,"03",Kongwa,"111",Sagara,"02",Msingisa
238,"01",Dodoma,"03",Kongwa,"111",Sagara,"03",Laikala
239,"01",Dodoma,"03",Kongwa,"111",Sagara,"04",Ijaka
240,"01",Dodoma,"03",Kongwa,"111",Sagara,"05",Sagara A
241,"01",Dodoma,"03",Kongwa,"123",Kibaigwa,"01",Kinangali
242,"01",Dodoma,"03",Kongwa,"123",Kibaigwa,"02",Ndurugumi
243,"01",Dodoma,"03",Kongwa,"123",Kibaigwa,"03",Kibaigwa
244,"01",Dodoma,"03",Kongwa,"133",Ugogoni,"01",Chimotolo
245,"01",Dodoma,"03",Kongwa,"133",Ugogoni,"02",Machenje
246,"01",Dodoma,"03",Kongwa,"133",Ugogoni,"03",Mautya
247,"01",Dodoma,"03",Kongwa,"133",Ugogoni,"04",Ibwaga
248,"01",Dodoma,"03",Kongwa,"133",Ugogoni,"05",Nguji
249,"01",Dodoma,"03",Kongwa,"133",Ugogoni,"06",Ugogoni
250,"01",Dodoma,"03",Kongwa,"141",Chamkoroma,"01",Chamkoroma
251,"01",Dodoma,"03",Kongwa,"141",Chamkoroma,"02",Mseta Bondeni
252,"01",Dodoma,"03",Kongwa,"141",Chamkoroma,"03",Mseta
253,"01",Dodoma,"03",Kongwa,"141",Chamkoroma,"04",Manghweta
254,"01",Dodoma,"03",Kongwa,"141",Chamkoroma,"05",Tubugwe Kibaoni
255,"01",Dodoma,"03",Kongwa,"141",Chamkoroma,"06",Tubugwe Juu
256,"01",Dodoma,"03",Kongwa,"141",Chamkoroma,"07",Makole
257,"01",Dodoma,"03",Kongwa,"151",Makawa,"01",Makawa
258,"01",Dodoma,"03",Kongwa,"151",Makawa,"02",Muungano
259,"01",Dodoma,"03",Kongwa,"151",Makawa,"03",Mageseni
260,"01",Dodoma,"03",Kongwa,"151",Makawa,"04",Silale
261,"01",Dodoma,"03",Kongwa,"161",Chitego,"01",Chitego
262,"01",Dodoma,"03",Kongwa,"161",Chitego,"02",Leganga
263,"01",Dodoma,"03",Kongwa,"161",Chitego,"03",Ngutoto
264,"01",Dodoma,"03",Kongwa,"171",Matongoro,"01",Matongoro
265,"01",Dodoma,"03",Kongwa,"171",Matongoro,"02",Mlanje
266,"01",Dodoma,"03",Kongwa,"171",Matongoro,"03",Norini
267,"01",Dodoma,"03",Kongwa,"181",Ngomai,"01",Chilanjilizi
268,"01",Dodoma,"03",Kongwa,"181",Ngomai,"02",Ngomai
269,"01",Dodoma,"03",Kongwa,"181",Ngomai,"03",Manyata
270,"01",Dodoma,"03",Kongwa,"191",Songambele,"01",Songambele A
271,"01",Dodoma,"03",Kongwa,"191",Songambele,"02",Songambele B
272,"01",Dodoma,"03",Kongwa,"191",Songambele,"03",Muungano
273,"01",Dodoma,"03",Kongwa,"191",Songambele,"04",Masena
274,"01",Dodoma,"03",Kongwa,"191",Songambele,"05",Mtunguchole
275,"01",Dodoma,"03",Kongwa,"201",Chiwe,"01",Moleti
276,"01",Dodoma,"03",Kongwa,"201",Chiwe,"02",Chiwe
277,"01",Dodoma,"03",Kongwa,"201",Chiwe,"03",Vihindo
278,"01",Dodoma,"03",Kongwa,"201",Chiwe,"04",Lengaji
279,"01",Dodoma,"03",Kongwa,"211",Lenjulu,"01",Lobilo
280,"01",Dodoma,"03",Kongwa,"211",Lenjulu,"02",Lenjulu
281,"01",Dodoma,"03",Kongwa,"211",Lenjulu,"03",Kiteto
282,"01",Dodoma,"03",Kongwa,"211",Lenjulu,"04",Majawanga
283,"01",Dodoma,"03",Kongwa,"221",Nghumbi,"01",Pembamoto
284,"01",Dodoma,"03",Kongwa,"221",Nghumbi,"02",Nghumbi
285,"01",Dodoma,"03",Kongwa,"221",Nghumbi,"03",Iyumbwi
286,"01",Dodoma,"03",Kongwa,"221",Nghumbi,"04",Mbagilwa
287,"01",Dodoma,"04",Chamwino,"011",Haneti,"01",Haneti
288,"01",Dodoma,"04",Chamwino,"011",Haneti,"02",Kwahemu
289,"01",Dodoma,"04",Chamwino,"011",Haneti,"03",Chenene
290,"01",Dodoma,"04",Chamwino,"011",Haneti,"04",Humekwa
291,"01",Dodoma,"04",Chamwino,"021",Segala,"01",Segala
292,"01",Dodoma,"04",Chamwino,"021",Segala,"02",Izava
293,"01",Dodoma,"04",Chamwino,"021",Segala,"03",Kimeji
294,"01",Dodoma,"04",Chamwino,"031",Itiso,"01",Itiso
295,"01",Dodoma,"04",Chamwino,"031",Itiso,"02",Solowu
296,"01",Dodoma,"04",Chamwino,"041",Dabalo,"01",Dabalo
297,"01",Dodoma,"04",Chamwino,"041",Dabalo,"02",Manyemba
298,"01",Dodoma,"04",Chamwino,"041",Dabalo,"03",Chiwondo
299,"01",Dodoma,"04",Chamwino,"041",Dabalo,"04",Igamba
300,"01",Dodoma,"04",Chamwino,"051",Membe,"01",Membe
301,"01",Dodoma,"04",Chamwino,"051",Membe,"02",Mlimwa
302,"01",Dodoma,"04",Chamwino,"061",Msanga,"01",Msanga
303,"01",Dodoma,"04",Chamwino,"061",Msanga,"02",Kawawa
304,"01",Dodoma,"04",Chamwino,"071",Chilonwa,"01",Mahamha
305,"01",Dodoma,"04",Chamwino,"071",Chilonwa,"02",Nzali
306,"01",Dodoma,"04",Chamwino,"083",Buigiri,"01",Chamwino Ikulu
307,"01",Dodoma,"04",Chamwino,"083",Buigiri,"02",Buigiri
308,"01",Dodoma,"04",Chamwino,"083",Buigiri,"03",Chinangali 2
309,"01",Dodoma,"04",Chamwino,"091",Majeleko,"01",Majeleko
310,"01",Dodoma,"04",Chamwino,"091",Majeleko,"02",Chinangali
311,"01",Dodoma,"04",Chamwino,"101",Manchali,"01",Manchali B
312,"01",Dodoma,"04",Chamwino,"101",Manchali,"02",Chalinze
313,"01",Dodoma,"04",Chamwino,"101",Manchali,"03",Wilunze
314,"01",Dodoma,"04",Chamwino,"101",Manchali,"04",Manchali A
315,"01",Dodoma,"04",Chamwino,"111",Ikowa,"01",Ikowa
316,"01",Dodoma,"04",Chamwino,"111",Ikowa,"02",Makoja
317,"01",Dodoma,"04",Chamwino,"121",Msamalo,"01",Mgunga
318,"01",Dodoma,"04",Chamwino,"121",Msamalo,"02",Mnase
319,"01",Dodoma,"04",Chamwino,"121",Msamalo,"03",Mlebe
320,"01",Dodoma,"04",Chamwino,"131",Igandu,"01",Igandu
321,"01",Dodoma,"04",Chamwino,"131",Igandu,"02",Nghaheleze
322,"01",Dodoma,"04",Chamwino,"131",Igandu,"03",Chinoje
323,"01",Dodoma,"04",Chamwino,"141",Muungano,"01",Muungano
324,"01",Dodoma,"04",Chamwino,"141",Muungano,"02",Mzula
325,"01",Dodoma,"04",Chamwino,"141",Muungano,"03",Ilolo
326,"01",Dodoma,"04",Chamwino,"151",Mvumi Makulu,"01",Mvumi Makulu
327,"01",Dodoma,"04",Chamwino,"161",Handali,"01",Handali
328,"01",Dodoma,"04",Chamwino,"161",Handali,"02",Chanhumba
329,"01",Dodoma,"04",Chamwino,"173",Mvumi Mission,"01",Mvumi Mission
330,"01",Dodoma,"04",Chamwino,"173",Mvumi Mission,"02",Ndebwe
331,"01",Dodoma,"04",Chamwino,"181",Idifu,"01",Idifu
332,"01",Dodoma,"04",Chamwino,"181",Idifu,"02",Miganga
333,"01",Dodoma,"04",Chamwino,"191",Makang'wa,"01",Makang'wa
334,"01",Dodoma,"04",Chamwino,"191",Makang'wa,"02",Mlowa Barabarani
335,"01",Dodoma,"04",Chamwino,"191",Makang'wa,"02",Mlowabarabarani
336,"01",Dodoma,"04",Chamwino,"191",Makang'wa,"03",Mloda
337,"01",Dodoma,"04",Chamwino,"201",Iringamvumi,"01",iringamvumi
338,"01",Dodoma,"04",Chamwino,"201",Iringamvumi,"02",Ikombolinga
339,"01",Dodoma,"04",Chamwino,"201",Iringamvumi,"03",Chita
340,"01",Dodoma,"04",Chamwino,"201",Iringamvumi,"04",Iringa Mvumi Mpya
341,"01",Dodoma,"04",Chamwino,"211",Manzase,"01",Manzase
342,"01",Dodoma,"04",Chamwino,"211",Manzase,"02",Sasajila
343,"01",Dodoma,"04",Chamwino,"211",Manzase,"03",Ilewelo
344,"01",Dodoma,"04",Chamwino,"221",Fufu,"01",Fufu
345,"01",Dodoma,"04",Chamwino,"221",Fufu,"02",Suli
346,"01",Dodoma,"04",Chamwino,"231",Mlowa Bwawani,"01",Mlowa Bwawani
347,"01",Dodoma,"04",Chamwino,"231",Mlowa Bwawani,"02",Wiliko
348,"01",Dodoma,"04",Chamwino,"241",Mpwayungu,"01",Mpwayungu
349,"01",Dodoma,"04",Chamwino,"241",Mpwayungu,"02",Nagulo
350,"01",Dodoma,"04",Chamwino,"251",Nghambaku,"01",Nghambaku
351,"01",Dodoma,"04",Chamwino,"251",Nghambaku,"02",Ndogowe
352,"01",Dodoma,"04",Chamwino,"261",Chinugulu,"01",Chinugulu
353,"01",Dodoma,"04",Chamwino,"271",Manda,"01",Manda
354,"01",Dodoma,"04",Chamwino,"271",Manda,"02",Ilangali
355,"01",Dodoma,"04",Chamwino,"281",Huzi,"01",Huzi
356,"01",Dodoma,"04",Chamwino,"281",Huzi,"02",Chifukulo
357,"01",Dodoma,"04",Chamwino,"291",Loje,"01",Loje
358,"01",Dodoma,"04",Chamwino,"291",Loje,"02",Igunguli
359,"01",Dodoma,"04",Chamwino,"301",Chiboli,"01",Nzasa
360,"01",Dodoma,"04",Chamwino,"301",Chiboli,"02",Chiboli
361,"01",Dodoma,"04",Chamwino,"311",Nhinhi,"01",Nhinhi
362,"01",Dodoma,"04",Chamwino,"311",Nhinhi,"02",Nkwenda
